selector,decision,chosen_policy,evidence_score,tau,false_safe,unsafe_accept,selected_truth_cvar,selected_truth_return,task,family,behavior,seed,natural_decision,budget_abstain,common_budget
SCROPE++,ACCEPT,ridge_return_train_only,0.006620179549432614,0.0377527770419426,0,0,0.0338311797752809,0.0005206109550561,daily_bm_25,daily size characteristic,adversarial_support_mismatch,7,ACCEPT,False,80.0
Support only,ACCEPT,constant_a001,174.00000000000003,0.0377527770419426,0,0,0.037563202247191,0.000469838483146,daily_bm_25,daily size characteristic,adversarial_support_mismatch,7,ACCEPT,False,80.0
LCB only,ACCEPT,ridge_return_train_only,0.0108932253426682,0.0377527770419426,0,0,0.0338311797752809,0.0005206109550561,daily_bm_25,daily size characteristic,adversarial_support_mismatch,7,ACCEPT,False,80.0
Risk only,ABSTAIN,constant_a011,-0.0135,0.0377527770419426,0,0,0.0318063202247191,0.0005039325842696,daily_bm_25,daily size characteristic,adversarial_support_mismatch,7,ACCEPT,True,80.0
SCROPE++,ACCEPT,ridge_return_train_only,0.008384619727852871,0.0377527770419426,0,0,0.033625702247191,0.0005329705056179,daily_bm_25,daily size characteristic,adversarial_support_mismatch,17,ACCEPT,False,85.0
Support only,ACCEPT,constant_a000,483.0000000000109,0.0377527770419426,0,1,0.0407584269662921,0.0003740519662921,daily_bm_25,daily size characteristic,adversarial_support_mismatch,17,ACCEPT,False,85.0
LCB only,ACCEPT,ridge_return_train_only,0.0109680962558262,0.0377527770419426,0,0,0.033625702247191,0.0005329705056179,daily_bm_25,daily size characteristic,adversarial_support_mismatch,17,ACCEPT,False,85.0
Risk only,ACCEPT,constant_a011,-0.0135,0.0377527770419426,0,0,0.0318063202247191,0.0005039325842696,daily_bm_25,daily size characteristic,adversarial_support_mismatch,17,ACCEPT,False,85.0
SCROPE++,ACCEPT,ridge_return_train_only,0.009090395799220885,0.0377527770419426,0,0,0.0339051966292134,0.0005238764044943,daily_bm_25,daily size characteristic,adversarial_support_mismatch,27,ACCEPT,False,84.0
Support only,ACCEPT,constant_a000,479.0000000000107,0.0377527770419426,0,1,0.0407584269662921,0.0003740519662921,daily_bm_25,daily size characteristic,adversarial_support_mismatch,27,ACCEPT,False,84.0
LCB only,ACCEPT,ridge_return_train_only,0.0105847038230381,0.0377527770419426,0,0,0.0339051966292134,0.0005238764044943,daily_bm_25,daily size characteristic,adversarial_support_mismatch,27,ACCEPT,False,84.0
Risk only,ACCEPT,constant_a011,-0.0135,0.0377527770419426,0,0,0.0318063202247191,0.0005039325842696,daily_bm_25,daily size characteristic,adversarial_support_mismatch,27,ACCEPT,False,84.0
SCROPE++,REJECT,momentum_12,2548.000000000019,0.0377527770419426,0,0,0.0355957865168539,0.0006660463483146,daily_bm_25,daily size characteristic,epsilon_greedy_momentum,7,REJECT,False,80.0
Support only,ACCEPT,momentum_12,2548.000000000019,0.0377527770419426,0,0,0.0355957865168539,0.0006660463483146,daily_bm_25,daily size characteristic,epsilon_greedy_momentum,7,ACCEPT,False,80.0
LCB only,ABSTAIN,constant_a023,0.0011800490338076,0.0377527770419426,0,0,0.0280963483146067,0.0004502808988764,daily_bm_25,daily size characteristic,epsilon_greedy_momentum,7,ACCEPT,True,80.0
Risk only,ACCEPT,constant_a008,-0.0053366984993178,0.0377527770419426,0,0,0.0330935393258427,0.0004921348314606,daily_bm_25,daily size characteristic,epsilon_greedy_momentum,7,ACCEPT,False,80.0
SCROPE++,REJECT,momentum_12,2552.00000000002,0.0377527770419426,0,0,0.0355957865168539,0.0006660463483146,daily_bm_25,daily size characteristic,epsilon_greedy_momentum,17,REJECT,False,85.0
Support only,ACCEPT,momentum_12,2552.00000000002,0.0377527770419426,0,0,0.0355957865168539,0.0006660463483146,daily_bm_25,daily size characteristic,epsilon_greedy_momentum,17,ACCEPT,False,85.0
LCB only,ABSTAIN,constant_a019,0.002629933421843,0.0377527770419426,0,0,0.0367367977528089,0.0004853932584269,daily_bm_25,daily size characteristic,epsilon_greedy_momentum,17,ACCEPT,True,85.0
Risk only,ACCEPT,constant_a023,-0.0120289069557362,0.0377527770419426,0,0,0.0280963483146067,0.0004502808988764,daily_bm_25,daily size characteristic,epsilon_greedy_momentum,17,ACCEPT,False,85.0
SCROPE++,REJECT,momentum_12,2553.00000000002,0.0377527770419426,0,0,0.0355957865168539,0.0006660463483146,daily_bm_25,daily size characteristic,epsilon_greedy_momentum,27,REJECT,False,84.0
Support only,ACCEPT,momentum_12,2553.00000000002,0.0377527770419426,0,0,0.0355957865168539,0.0006660463483146,daily_bm_25,daily size characteristic,epsilon_greedy_momentum,27,ACCEPT,False,84.0
LCB only,ABSTAIN,momentum_12,0.0002556568942039,0.0377527770419426,0,0,0.0355957865168539,0.0006660463483146,daily_bm_25,daily size characteristic,epsilon_greedy_momentum,27,ACCEPT,True,84.0
Risk only,ACCEPT,constant_equal_weight_public,-0.007944,0.0377527770419426,0,0,0.0306268707865168,0.000514452247191,daily_bm_25,daily size characteristic,epsilon_greedy_momentum,27,ACCEPT,False,84.0
SCROPE++,ACCEPT,constant_a006,0.01332505222742908,0.0377527770419426,0,0,0.0348112359550561,0.0005960323033707,daily_bm_25,daily size characteristic,low_overlap_concentration,7,ACCEPT,False,80.0
Support only,ACCEPT,momentum_12,2816.999999999628,0.0377527770419426,0,0,0.0355957865168539,0.0006660463483146,daily_bm_25,daily size characteristic,low_overlap_concentration,7,ACCEPT,False,80.0
LCB only,ABSTAIN,constant_a006,0.0041820894804407,0.0377527770419426,0,0,0.0348112359550561,0.0005960323033707,daily_bm_25,daily size characteristic,low_overlap_concentration,7,ACCEPT,True,80.0
Risk only,ACCEPT,constant_a008,-0.0043718125960061,0.0377527770419426,0,0,0.0330935393258427,0.0004921348314606,daily_bm_25,daily size characteristic,low_overlap_concentration,7,ACCEPT,False,80.0
SCROPE++,ACCEPT,constant_a006,0.01332505222742908,0.0377527770419426,0,0,0.0348112359550561,0.0005960323033707,daily_bm_25,daily size characteristic,low_overlap_concentration,17,ACCEPT,False,85.0
Support only,ACCEPT,momentum_12,2818.999999999627,0.0377527770419426,0,0,0.0355957865168539,0.0006660463483146,daily_bm_25,daily size characteristic,low_overlap_concentration,17,ACCEPT,False,85.0
LCB only,ACCEPT,ridge_return_train_only,0.0069287915296936,0.0377527770419426,0,0,0.0347648876404494,0.0006418314606741,daily_bm_25,daily size characteristic,low_overlap_concentration,17,ACCEPT,False,85.0
Risk only,ACCEPT,constant_a009,-0.0039442793462109,0.0377527770419426,0,0,0.0353373595505617,0.0005078300561797,daily_bm_25,daily size characteristic,low_overlap_concentration,17,ACCEPT,False,85.0
SCROPE++,ACCEPT,low_vol_12,0.040850319010784064,0.0377527770419426,0,0,0.0267567415730337,0.000330886235955,daily_bm_25,daily size characteristic,low_overlap_concentration,27,ACCEPT,False,84.0
Support only,ACCEPT,momentum_12,2818.999999999627,0.0377527770419426,0,0,0.0355957865168539,0.0006660463483146,daily_bm_25,daily size characteristic,low_overlap_concentration,27,ACCEPT,False,84.0
LCB only,ABSTAIN,constant_a006,0.0033205011642477,0.0377527770419426,0,0,0.0348112359550561,0.0005960323033707,daily_bm_25,daily size characteristic,low_overlap_concentration,27,ACCEPT,True,84.0
Risk only,ACCEPT,constant_a012,-0.0081,0.0377527770419426,0,0,0.0308324438202247,0.0004570224719101,daily_bm_25,daily size characteristic,low_overlap_concentration,27,ACCEPT,False,84.0
SCROPE++,REJECT,momentum_12,234.39993930248824,0.0377527770419426,0,0,0.0355957865168539,0.0006660463483146,daily_bm_25,daily size characteristic,market_state_mixed,7,REJECT,False,80.0
Support only,ACCEPT,risk_adjusted_12,424.7802073756192,0.0377527770419426,0,0,0.0318522471910112,0.0006534761235955,daily_bm_25,daily size characteristic,market_state_mixed,7,ACCEPT,False,80.0
LCB only,ABSTAIN,constant_a006,0.0010380184068326,0.0377527770419426,0,0,0.0348112359550561,0.0005960323033707,daily_bm_25,daily size characteristic,market_state_mixed,7,ACCEPT,True,80.0
Risk only,ABSTAIN,constant_a015,-0.0191984430494137,0.0377527770419426,0,0,0.0311102528089887,0.0004736306179775,daily_bm_25,daily size characteristic,market_state_mixed,7,ACCEPT,True,80.0
SCROPE++,REJECT,momentum_12,265.0961377340521,0.0377527770419426,0,0,0.0355957865168539,0.0006660463483146,daily_bm_25,daily size characteristic,market_state_mixed,17,REJECT,False,85.0
Support only,ACCEPT,risk_adjusted_12,470.9033484409223,0.0377527770419426,0,0,0.0318522471910112,0.0006534761235955,daily_bm_25,daily size characteristic,market_state_mixed,17,ACCEPT,False,85.0
LCB only,ABSTAIN,constant_a013,0.000734719820177,0.0377527770419426,0,0,0.033190308988764,0.0004888342696629,daily_bm_25,daily size characteristic,market_state_mixed,17,ACCEPT,True,85.0
Risk only,ABSTAIN,constant_a018,-0.0225184508578671,0.0377527770419426,0,0,0.0324047752808988,0.0004990519662921,daily_bm_25,daily size characteristic,market_state_mixed,17,ACCEPT,True,85.0
SCROPE++,ACCEPT,risk_adjusted_12,0.10533490952722192,0.0377527770419426,0,0,0.0318522471910112,0.0006534761235955,daily_bm_25,daily size characteristic,market_state_mixed,27,ACCEPT,False,84.0
Support only,ACCEPT,risk_adjusted_12,451.71166403509113,0.0377527770419426,0,0,0.0318522471910112,0.0006534761235955,daily_bm_25,daily size characteristic,market_state_mixed,27,ACCEPT,False,84.0
LCB only,ABSTAIN,constant_a021,0.0009219238477238,0.0377527770419426,0,0,0.0260328651685393,0.0005365870786516,daily_bm_25,daily size characteristic,market_state_mixed,27,ACCEPT,True,84.0
Risk only,ABSTAIN,constant_a021,-0.0171007970763682,0.0377527770419426,0,0,0.0260328651685393,0.0005365870786516,daily_bm_25,daily size characteristic,market_state_mixed,27,ACCEPT,True,84.0
SCROPE++,ACCEPT,constant_a019,0.03838010276099579,0.0377527770419426,0,0,0.0367367977528089,0.0004853932584269,daily_bm_25,daily size characteristic,return_seeking_recent_winner,7,ACCEPT,False,80.0
Support only,ACCEPT,momentum_12,2802.9999999999786,0.0377527770419426,0,0,0.0355957865168539,0.0006660463483146,daily_bm_25,daily size characteristic,return_seeking_recent_winner,7,ACCEPT,False,80.0
LCB only,ABSTAIN,constant_a011,0.0020713871724316,0.0377527770419426,0,0,0.0318063202247191,0.0005039325842696,daily_bm_25,daily size characteristic,return_seeking_recent_winner,7,ACCEPT,True,80.0
Risk only,ACCEPT,constant_a012,-0.0081,0.0377527770419426,0,0,0.0308324438202247,0.0004570224719101,daily_bm_25,daily size characteristic,return_seeking_recent_winner,7,ACCEPT,False,80.0
SCROPE++,ACCEPT,constant_a017,0.002385523121224087,0.0377527770419426,0,0,0.0292540730337078,0.0005257724719101,daily_bm_25,daily size characteristic,return_seeking_recent_winner,17,ACCEPT,False,85.0
Support only,ACCEPT,momentum_12,2793.9999999999786,0.0377527770419426,0,0,0.0355957865168539,0.0006660463483146,daily_bm_25,daily size characteristic,return_seeking_recent_winner,17,ACCEPT,False,85.0
LCB only,ABSTAIN,constant_a011,0.0032541544933509,0.0377527770419426,0,0,0.0318063202247191,0.0005039325842696,daily_bm_25,daily size characteristic,return_seeking_recent_winner,17,ACCEPT,True,85.0
Risk only,ACCEPT,constant_a015,-0.0042501483679525,0.0377527770419426,0,0,0.0311102528089887,0.0004736306179775,daily_bm_25,daily size characteristic,return_seeking_recent_winner,17,ACCEPT,False,85.0
SCROPE++,ACCEPT,constant_a018,0.015089492405849447,0.0377527770419426,0,0,0.0324047752808988,0.0004990519662921,daily_bm_25,daily size characteristic,return_seeking_recent_winner,27,ACCEPT,False,84.0
Support only,ACCEPT,momentum_12,2792.999999999979,0.0377527770419426,0,0,0.0355957865168539,0.0006660463483146,daily_bm_25,daily size characteristic,return_seeking_recent_winner,27,ACCEPT,False,84.0
LCB only,ACCEPT,ridge_return_train_only,0.0093629505910105,0.0377527770419426,0,0,0.034313202247191,0.000564165730337,daily_bm_25,daily size characteristic,return_seeking_recent_winner,27,ACCEPT,False,84.0
Risk only,ACCEPT,constant_a015,-0.0059583145221971,0.0377527770419426,0,0,0.0311102528089887,0.0004736306179775,daily_bm_25,daily size characteristic,return_seeking_recent_winner,27,ACCEPT,False,84.0
SCROPE++,ACCEPT,constant_a019,0.038263124420344075,0.0377527770419426,0,0,0.0367367977528089,0.0004853932584269,daily_bm_25,daily size characteristic,risk_averse_low_volatility,7,ACCEPT,False,80.0
Support only,ACCEPT,constant_a012,135.92619030290558,0.0377527770419426,0,0,0.0308324438202247,0.0004570224719101,daily_bm_25,daily size characteristic,risk_averse_low_volatility,7,ACCEPT,False,80.0
LCB only,ABSTAIN,constant_a019,0.0006427883627262,0.0377527770419426,0,0,0.0367367977528089,0.0004853932584269,daily_bm_25,daily size characteristic,risk_averse_low_volatility,7,ACCEPT,True,80.0
Risk only,ABSTAIN,constant_a016,-0.0227899592559766,0.0377527770419426,0,0,0.029254915730337,0.0005401334269662,daily_bm_25,daily size characteristic,risk_averse_low_volatility,7,ACCEPT,True,80.0
SCROPE++,ACCEPT,constant_a001,0.026681188229860653,0.0377527770419426,0,0,0.037563202247191,0.000469838483146,daily_bm_25,daily size characteristic,risk_averse_low_volatility,17,ACCEPT,False,85.0
Support only,ACCEPT,constant_a015,130.63160778494577,0.0377527770419426,0,0,0.0311102528089887,0.0004736306179775,daily_bm_25,daily size characteristic,risk_averse_low_volatility,17,ACCEPT,False,85.0
LCB only,ABSTAIN,constant_a016,0.0001608482265327,0.0377527770419426,0,0,0.029254915730337,0.0005401334269662,daily_bm_25,daily size characteristic,risk_averse_low_volatility,17,ACCEPT,True,85.0
Risk only,ABSTAIN,constant_a012,-0.0215490934512882,0.0377527770419426,0,0,0.0308324438202247,0.0004570224719101,daily_bm_25,daily size characteristic,risk_averse_low_volatility,17,ACCEPT,True,85.0
SCROPE++,ACCEPT,constant_equal_weight_public,0.03696523955252662,0.0377527770419426,0,0,0.0306268707865168,0.000514452247191,daily_bm_25,daily size characteristic,risk_averse_low_volatility,27,ACCEPT,False,84.0
Support only,ACCEPT,constant_a015,125.76004241931828,0.0377527770419426,0,0,0.0311102528089887,0.0004736306179775,daily_bm_25,daily size characteristic,risk_averse_low_volatility,27,ACCEPT,False,84.0
LCB only,ABSTAIN,constant_equal_weight_public,0.0010130403228397,0.0377527770419426,0,0,0.0306268707865168,0.000514452247191,daily_bm_25,daily size characteristic,risk_averse_low_volatility,27,ACCEPT,True,84.0
Risk only,ABSTAIN,constant_a017,-0.0247894586966227,0.0377527770419426,0,0,0.0292540730337078,0.0005257724719101,daily_bm_25,daily size characteristic,risk_averse_low_volatility,27,ACCEPT,True,84.0
SCROPE++,ACCEPT,constant_a008,0.02884222090802091,0.0377527770419426,0,0,0.0330935393258427,0.0004921348314606,daily_bm_25,daily size characteristic,softmax_high_entropy,7,ACCEPT,False,80.0
Support only,ACCEPT,constant_a022,129.90853630067411,0.0377527770419426,0,0,0.0262523876404494,0.0004640800561797,daily_bm_25,daily size characteristic,softmax_high_entropy,7,ACCEPT,False,80.0
LCB only,ABSTAIN,constant_a008,0.0002589869448192,0.0377527770419426,0,0,0.0330935393258427,0.0004921348314606,daily_bm_25,daily size characteristic,softmax_high_entropy,7,ACCEPT,True,80.0
Risk only,ABSTAIN,low_vol_12,-0.0205944021703834,0.0377527770419426,0,0,0.0267567415730337,0.000330886235955,daily_bm_25,daily size characteristic,softmax_high_entropy,7,ACCEPT,True,80.0
SCROPE++,ACCEPT,constant_a021,0.03798159200064033,0.0377527770419426,0,0,0.0260328651685393,0.0005365870786516,daily_bm_25,daily size characteristic,softmax_high_entropy,17,ACCEPT,False,85.0
Support only,ACCEPT,constant_a015,124.88298238445464,0.0377527770419426,0,0,0.0311102528089887,0.0004736306179775,daily_bm_25,daily size characteristic,softmax_high_entropy,17,ACCEPT,False,85.0
LCB only,ABSTAIN,constant_a021,0.0006287407023453,0.0377527770419426,0,0,0.0260328651685393,0.0005365870786516,daily_bm_25,daily size characteristic,softmax_high_entropy,17,ACCEPT,True,85.0
Risk only,ABSTAIN,constant_a006,-0.0225379618513277,0.0377527770419426,0,0,0.0348112359550561,0.0005960323033707,daily_bm_25,daily size characteristic,softmax_high_entropy,17,ACCEPT,True,85.0
SCROPE++,ACCEPT,constant_a006,0.03130942340998155,0.0377527770419426,0,0,0.0348112359550561,0.0005960323033707,daily_bm_25,daily size characteristic,softmax_high_entropy,27,ACCEPT,False,84.0
Support only,ACCEPT,constant_a002,127.925928106706,0.0377527770419426,0,0,0.0337817415730337,0.0004876755617977,daily_bm_25,daily size characteristic,softmax_high_entropy,27,ACCEPT,False,84.0
