task,source,before_rows,raw_columns,removed_columns_train_missing,rows_after_cleaning,actions,columns,baseline_index,warmup_rows,periods,train_n,calibration_n,test_n,first_date,last_date,baseline_tau,cells,family
monthly_industry_17,['17_Industry_Portfolios_CSV.zip'],754,17,[],754,18,"['a000', 'a001', 'a002', 'a003', 'a004', 'a005', 'a006', 'a007', 'a008', 'a009', 'a010', 'a011', 'a012', 'a013', 'a014', 'a015', 'a016', 'equal_weight_public']",17,60,694,450,108,136,1968-07-01,2026-04-01,0.1185969499,12492,monthly industry
monthly_industry_30,['30_Industry_Portfolios_CSV.zip'],754,30,[],754,31,"['a000', 'a001', 'a002', 'a003', 'a004', 'a005', 'a006', 'a007', 'a008', 'a009', 'a010', 'a011', 'a012', 'a013', 'a014', 'a015', 'a016', 'a017', 'a018', 'a019', 'a020', 'a021', 'a022', 'a023', 'a024', 'a025', 'a026', 'a027', 'a028', 'a029', 'equal_weight_public']",30,60,694,450,108,136,1968-07-01,2026-04-01,0.1213301235,21514,monthly industry
monthly_industry_48,['48_Industry_Portfolios_CSV.zip'],754,48,['a010'],754,48,"['a000', 'a001', 'a002', 'a003', 'a004', 'a005', 'a006', 'a007', 'a008', 'a009', 'a011', 'a012', 'a013', 'a014', 'a015', 'a016', 'a017', 'a018', 'a019', 'a020', 'a021', 'a022', 'a023', 'a024', 'a025', 'a026', 'a027', 'a028', 'a029', 'a030', 'a031', 'a032', 'a033', 'a034', 'a035', 'a036', 'a037', 'a038', 'a039', 'a040', 'a041', 'a042', 'a043', 'a044', 'a045', 'a046', 'a047', 'equal_weight_public']",47,60,694,450,108,136,1968-07-01,2026-04-01,0.12413215130000001,33312,monthly industry
monthly_size_bm_25,['25_Portfolios_5x5_CSV.zip'],754,25,[],754,26,"['a000', 'a001', 'a002', 'a003', 'a004', 'a005', 'a006', 'a007', 'a008', 'a009', 'a010', 'a011', 'a012', 'a013', 'a014', 'a015', 'a016', 'a017', 'a018', 'a019', 'a020', 'a021', 'a022', 'a023', 'a024', 'equal_weight_public']",25,60,694,450,108,136,1968-07-01,2026-04-01,0.1231069659,18044,monthly size--B/M
monthly_size_bm_100,['100_Portfolios_10x10_CSV.zip'],754,100,['a099'],714,100,"['a000', 'a001', 'a002', 'a003', 'a004', 'a005', 'a006', 'a007', 'a008', 'a009', 'a010', 'a011', 'a012', 'a013', 'a014', 'a015', 'a016', 'a017', 'a018', 'a019', 'a020', 'a021', 'a022', 'a023', 'a024', 'a025', 'a026', 'a027', 'a028', 'a029', 'a030', 'a031', 'a032', 'a033', 'a034', 'a035', 'a036', 'a037', 'a038', 'a039', 'a040', 'a041', 'a042', 'a043', 'a044', 'a045', 'a046', 'a047', 'a048', 'a049', 'a050', 'a051', 'a052', 'a053', 'a054', 'a055', 'a056', 'a057', 'a058', 'a059', 'a060', 'a061', 'a062', 'a063', 'a064', 'a065', 'a066', 'a067', 'a068', 'a069', 'a070', 'a071', 'a072', 'a073', 'a074', 'a075', 'a076', 'a077', 'a078', 'a079', 'a080', 'a081', 'a082', 'a083', 'a084', 'a085', 'a086', 'a087', 'a088', 'a089', 'a090', 'a091', 'a092', 'a093', 'a094', 'a095', 'a096', 'a097', 'a098', 'equal_weight_public']",99,60,654,420,108,126,1968-07-01,2026-04-01,0.12548836330000002,65400,monthly size--B/M
monthly_beme_inv,['25_Portfolios_BEME_INV_5x5_CSV.zip'],754,25,[],754,26,"['a000', 'a001', 'a002', 'a003', 'a004', 'a005', 'a006', 'a007', 'a008', 'a009', 'a010', 'a011', 'a012', 'a013', 'a014', 'a015', 'a016', 'a017', 'a018', 'a019', 'a020', 'a021', 'a022', 'a023', 'a024', 'equal_weight_public']",25,60,694,450,108,136,1968-07-01,2026-04-01,0.1182778919,18044,monthly size/profit/invest
monthly_beme_op,['25_Portfolios_BEME_OP_5x5_CSV.zip'],754,25,[],754,26,"['a000', 'a001', 'a002', 'a003', 'a004', 'a005', 'a006', 'a007', 'a008', 'a009', 'a010', 'a011', 'a012', 'a013', 'a014', 'a015', 'a016', 'a017', 'a018', 'a019', 'a020', 'a021', 'a022', 'a023', 'a024', 'equal_weight_public']",25,60,694,450,108,136,1968-07-01,2026-04-01,0.1194983896,18044,monthly size/profit/invest
monthly_me_inv,['25_Portfolios_ME_INV_5x5_CSV.zip'],754,25,[],754,26,"['a000', 'a001', 'a002', 'a003', 'a004', 'a005', 'a006', 'a007', 'a008', 'a009', 'a010', 'a011', 'a012', 'a013', 'a014', 'a015', 'a016', 'a017', 'a018', 'a019', 'a020', 'a021', 'a022', 'a023', 'a024', 'equal_weight_public']",25,60,694,450,108,136,1968-07-01,2026-04-01,0.11727933330000001,18044,monthly two-characteristic
monthly_me_op,['25_Portfolios_ME_OP_5x5_CSV.zip'],754,25,[],754,26,"['a000', 'a001', 'a002', 'a003', 'a004', 'a005', 'a006', 'a007', 'a008', 'a009', 'a010', 'a011', 'a012', 'a013', 'a014', 'a015', 'a016', 'a017', 'a018', 'a019', 'a020', 'a021', 'a022', 'a023', 'a024', 'equal_weight_public']",25,60,694,450,108,136,1968-07-01,2026-04-01,0.12009956000000001,18044,monthly two-characteristic
monthly_op_inv,['25_Portfolios_OP_INV_5x5_CSV.zip'],754,25,[],754,26,"['a000', 'a001', 'a002', 'a003', 'a004', 'a005', 'a006', 'a007', 'a008', 'a009', 'a010', 'a011', 'a012', 'a013', 'a014', 'a015', 'a016', 'a017', 'a018', 'a019', 'a020', 'a021', 'a022', 'a023', 'a024', 'equal_weight_public']",25,60,694,450,108,136,1968-07-01,2026-04-01,0.11297658370000001,18044,monthly two-characteristic
daily_bm_25,['25_Portfolios_5x5_Daily_CSV.zip'],15813,25,[],15813,26,"['a000', 'a001', 'a002', 'a003', 'a004', 'a005', 'a006', 'a007', 'a008', 'a009', 'a010', 'a011', 'a012', 'a013', 'a014', 'a015', 'a016', 'a017', 'a018', 'a019', 'a020', 'a021', 'a022', 'a023', 'a024', 'equal_weight_public']",25,60,15753,10640,2265,2848,1963-09-25,2026-04-30,0.037752777,409578,daily size characteristic
