scheme,ess_bin,kind,calibration_cases,offset
block,0,return,5278,0.012705502645502699
block,0,risk,5278,0.0055293387995374
block,1,return,2984,0.0121933479590829
block,1,risk,2984,0.1602629629629629
block,2,return,1504,0.0213921556853085
block,2,risk,1504,0.1487555555555555
block,3,return,952,0.0316484018953554
block,3,risk,952,0.1422747407407407
block,4,return,1978,0.0016366368819805
block,4,risk,1978,0.010957180408216704
iid,0,return,5278,0.0135706666666667
iid,0,risk,5278,0.0085735099337748
iid,1,return,2984,0.0137140598364598
iid,1,risk,2984,0.1620358148148148
iid,2,return,1504,0.0254319515480816
iid,2,risk,1504,0.14929259259259262
iid,3,return,952,0.0347947547052209
iid,3,risk,952,0.1422747407407407
iid,4,return,1978,0.0017944290664630002
iid,4,risk,1978,0.011017365710081002
