scheme,ess_bin,cases,nominal_coverage,calibrated_coverage,mean_nominal_width,mean_calibrated_width
block,0,4798,0.27448937057107126,0.9460191746561067,0.16878919268738815,0.19420019797839355
block,1,2856,0.6834733893557423,0.9604341736694678,0.10812657280776439,0.1325132687259302
block,2,1930,0.6974093264248704,0.9316062176165804,0.08051584801238947,0.12330015938300647
block,3,1049,0.5891325071496664,0.9142040038131554,0.029936508007078432,0.09323331179778924
block,4,2063,0.8390693165293263,0.9621909840038778,0.006327285341452701,0.009600559105413702
iid,0,4798,0.2628178407669862,0.9499791579824927,0.17293980520492058,0.200081138538254
iid,1,2856,0.6799719887955182,0.9642857142857143,0.10866282438603729,0.1360909440589569
iid,2,1930,0.6875647668393783,0.9321243523316062,0.0804577606156283,0.1313216637117915
iid,3,1049,0.5776930409914204,0.9142040038131554,0.02803953190208839,0.09762904131253018
iid,4,2063,0.8240426563257393,0.9583131362094037,0.006267751491718403,0.009856609624644404
