scheme,family,cases,evaluable_risk,underestimation,mae,median_ess
block,daily industry/factor,1104,1096,0.6642335766423357,0.011200804678599198,56.07356415633488
block,daily size characteristic,2160,2135,0.7451990632318501,0.012282684968051504,78.58321414559666
block,monthly industry,2616,2013,0.8698460009935419,0.08491444393558593,2.3424579623447594
block,monthly size--B/M,3216,1960,0.9423469387755102,0.10511111468140197,1.0
block,monthly size/profit/invest,1440,1218,0.8940886699507389,0.07520635219733715,3.971797773076072
block,monthly two-characteristic,2160,1902,0.8885383806519453,0.07152732341537928,4.0
iid,daily industry/factor,1104,1096,0.6642335766423357,0.011200804678599198,56.07356415633488
iid,daily size characteristic,2160,2135,0.7451990632318501,0.012282684968051504,78.58321414559666
iid,monthly industry,2616,2013,0.8698460009935419,0.08491444393558593,2.3424579623447594
iid,monthly size--B/M,3216,1960,0.9423469387755102,0.10511111468140197,1.0
iid,monthly size/profit/invest,1440,1218,0.8940886699507389,0.07520635219733715,3.971797773076072
iid,monthly two-characteristic,2160,1902,0.8885383806519453,0.07152732341537928,4.0
